UserID,CheckIn,LocationFrequency
186,166,43
187,498,54
188,275,84
189,148,31
190,85,16
191,162,25
192,61,17
193,268,16
194,109,44
195,119,55
196,104,27
198,76,10
199,222,34
200,76,9
201,98,15
202,228,95
203,98,27
204,100,37
206,171,44
207,297,43
208,267,64
210,140,59
211,137,15
212,167,52
213,93,10
214,131,52
215,201,51
216,124,42
217,233,63
218,141,67
219,91,14
220,102,23
221,132,21
222,123,22
225,158,69
226,88,21
227,84,20
228,87,36
229,105,9
230,118,36
231,119,39
233,103,26
234,90,4
235,182,50
237,67,2
238,212,61
240,97,27
241,87,16
242,145,28
243,173,26
244,170,37
245,88,31
246,386,95
247,99,26
248,87,32
250,145,32
251,86,20
252,77,12
253,110,21
254,244,17
255,141,30
256,119,46
257,77,19
258,101,20
259,158,23
260,126,24
261,168,14
264,107,27
265,76,17
266,99,28
267,500,87
269,101,14
270,155,44
271,164,73
272,150,68
273,111,53
274,92,22
275,151,31
276,174,72
277,148,28
278,262,9
279,95,33
280,533,158
281,318,150
282,121,11
283,136,36
284,87,14
285,76,21
286,80,12
287,161,21
288,220,25
289,211,32
290,98,20
291,180,44
292,98,27
293,1769,171
294,104,16
295,251,38
296,195,46
297,87,19
298,99,25
299,114,13
300,177,47
301,115,46
302,170,25
303,100,49
304,141,37
305,89,10
306,259,37
307,99,34
308,90,13
309,104,16
310,157,34
311,191,27
312,147,39
313,161,52
314,164,44
315,1144,232
316,112,30
317,130,43
318,124,62
319,470,48
320,88,32
321,102,38
322,112,21
323,131,34
324,89,35
325,92,11
326,68,14
327,110,25
328,104,21
329,73,28
330,155,57
331,224,21
332,103,40
333,108,6
334,139,26
335,424,108
337,160,41
338,98,21
339,82,25
340,161,32
342,168,39
343,150,20
344,346,66
345,65,26
346,104,26
347,256,75
348,131,32
349,778,178
350,77,7
351,190,12
352,58,22
353,130,18
354,1843,198
355,332,57
356,92,25
357,101,19
358,84,27
359,389,52
360,153,61
361,109,16
362,158,58
363,117,47
364,213,46
365,299,90
366,106,12
367,107,34
368,90,39
370,110,20
371,702,127
372,453,88
373,152,72
374,128,25
375,122,18
376,108,17
377,142,56
378,87,30
379,116,10
380,204,70
381,101,77
382,98,4
383,136,51
384,965,205
385,98,39
386,253,63
387,102,19
388,90,9
389,102,54
390,291,71
391,139,27
392,82,11
393,8,4
394,74,8
395,75,8
396,308,109
397,143,37
398,219,57
399,53,15
400,85,24
401,108,29
402,155,8
403,82,6
404,222,24
405,106,28
406,124,42
407,103,17
408,135,9
409,113,28
410,62,17
412,213,52
413,147,61
414,97,37
415,124,36
416,81,19
417,179,58
418,80,22
419,134,28
420,70,21
421,74,39
422,219,7
423,122,45
424,140,72
425,340,117
427,120,35
428,163,36
429,126,11
430,129,8
431,148,43
432,257,131
433,94,15
434,116,15
435,137,8
436,92,41
438,272,33
439,607,108
440,633,62
441,170,19
442,118,18
443,709,112
444,309,164
445,932,183
446,117,16
447,111,9
448,609,74
449,80,43
450,126,20
452,109,20
453,93,21
454,92,13
455,84,19
456,178,31
457,95,24
458,880,210
459,151,12
460,101,2
461,266,56
462,111,24
463,107,36
464,159,53
465,168,24
466,72,12
467,114,37
468,225,79
469,84,12
470,196,141
471,252,46
472,311,26
473,108,41
474,327,43
475,246,59
478,172,93
480,234,53
481,217,22
482,227,92
483,143,11
484,719,40
485,113,4
487,129,4
489,117,33
490,29,1
491,93,34
492,283,30
493,205,30
494,92,25
495,352,127
496,109,28
497,75,19
498,160,26
499,88,20
500,131,17
501,109,19
503,224,93
504,173,53
505,156,20
506,176,41
507,207,60
508,86,12
509,194,34
510,181,55
511,131,17
512,229,31
513,125,33
514,137,45
515,225,91
516,124,52
518,284,48
519,392,74
520,81,13
521,584,57
524,111,43
525,182,56
526,194,74
527,802,146
528,228,136
529,472,126
530,83,29
531,316,62
532,93,7
533,257,55
534,91,36
535,86,32
536,126,20
537,133,35
539,241,50
540,232,32
541,120,42
543,110,23
544,89,15
548,96,21
549,171,36
550,85,14
553,258,59
554,112,12
556,59,6
557,138,10
558,127,9
559,163,71
560,208,40
561,98,15
562,129,36
563,70,1
564,88,13
565,159,74
566,173,47
567,138,32
568,177,27
569,102,20
570,106,21
571,224,53
572,215,59
573,188,31
574,110,41
575,134,37
576,61,6
577,213,17
578,121,45
579,152,41
581,199,56
582,449,76
584,170,12
585,276,9
586,118,24
588,104,31
590,98,3
591,157,37
592,153,55
593,494,67
594,92,21
596,201,10
597,93,18
598,122,42
599,135,33
601,85,38
603,84,20
604,97,46
606,89,10
607,96,13
608,113,10
609,141,34
610,81,25
611,108,15
612,204,62
613,102,21
614,101,23
615,151,119
616,248,24
618,14,3
619,191,39
620,159,39
621,463,163
622,102,11
623,216,129
624,148,25
625,80,12
626,197,8
627,111,36
628,255,80
629,118,33
630,125,35
631,124,29
632,127,33
633,192,69
635,350,57
636,91,13
637,119,39
638,369,38
639,146,36
642,233,71
643,281,64
644,78,22
645,297,87
646,352,99
647,295,53
648,91,20
649,209,103
650,80,24
651,118,18
652,368,95
653,80,27
654,189,51
656,125,41
657,205,32
658,131,23
659,160,62
660,339,88
661,142,17
662,206,75
663,119,6
664,383,12
665,264,134
666,73,14
667,208,48
668,71,11
669,118,65
672,115,21
673,331,50
674,94,25
677,153,29
678,95,14
679,80,19
680,84,16
681,84,21
682,174,68
683,94,32
684,120,30
685,82,12
686,104,40
688,251,29
689,586,90
690,127,29
691,197,107
692,134,41
693,121,33
694,87,16
695,84,25
696,122,10
697,144,29
698,100,44
699,255,37
701,100,24
702,432,60
703,127,41
704,169,45
705,187,34
706,772,358
707,101,27
708,229,74
710,146,35
712,185,41
713,140,109
714,133,34
715,117,53
716,121,25
717,66,2
718,258,34
719,106,5
720,111,27
721,126,60
722,409,36
723,230,81
724,125,19
725,130,24
726,421,227
727,171,36
728,144,34
730,484,60
731,148,46
733,171,58
734,560,61
735,200,33
736,160,34
737,146,28
738,77,18
739,160,33
741,93,32
742,629,172
744,297,32
745,372,160
746,175,47
748,120,23
749,138,77
750,348,48
751,132,37
752,230,105
754,281,2
755,194,68
756,76,14
757,219,53
758,148,67
759,84,21
760,88,24
762,147,60
763,311,18
766,337,51
767,236,55
768,1029,282
769,119,10
770,152,34
772,106,39
773,349,76
774,102,29
776,140,35
777,79,26
778,151,44
779,118,20
780,154,13
781,233,49
782,172,26
783,143,38
784,262,77
785,112,33
786,124,26
787,183,38
788,94,18
789,56,3
790,82,14
791,128,72
792,144,33
793,171,79
795,123,7
796,70,8
797,147,59
798,223,95
799,77,18
800,153,38
801,47,10
802,118,61
803,163,62
804,106,28
805,122,32
806,290,64
807,136,9
809,102,21
811,84,6
812,104,24
813,157,19
814,194,50
815,184,23
816,344,102
817,143,35
818,78,24
819,558,70
820,411,146
822,92,29
823,127,37
824,139,21
825,90,2
826,181,30
827,470,133
828,42,11
829,112,73
830,186,78
831,87,14
832,75,9
833,139,47
834,269,129
836,152,57
837,146,40
838,158,18
839,121,30
840,125,34
841,112,2
842,272,25
843,119,2
844,143,22
845,195,18
846,136,56
847,76,9
848,88,19
851,163,37
852,100,25
853,189,38
854,144,30
855,110,49
856,131,22
857,228,25
858,61,15
859,118,7
861,168,41
863,99,20
864,165,96
865,161,36
868,220,72
869,79,20
870,134,49
871,110,23
872,425,38
873,98,29
874,138,51
877,162,37
878,121,29
879,181,82
880,431,253
881,343,58
882,225,123
883,89,34
884,72,29
885,481,34
887,108,26
888,179,35
889,435,168
890,112,21
891,327,57
892,112,39
893,90,14
894,166,48
895,380,121
897,85,24
900,237,28
901,293,33
902,214,15
903,84,5
904,183,54
905,150,35
906,121,48
907,109,41
908,167,23
909,157,33
910,114,37
912,200,49
913,227,53
915,233,7
916,342,116
917,98,14
918,124,37
920,216,5
921,126,5
922,292,71
923,107,7
924,121,11
925,105,13
926,86,10
927,113,24
928,295,33
929,127,17
931,114,35
932,114,9
933,86,23
934,283,4
936,291,51
937,107,42
938,114,22
939,133,21
940,119,22
941,156,26
942,78,18
943,624,58
944,105,16
945,59,16
946,170,24
947,109,36
948,117,29
949,83,21
950,119,54
951,630,61
952,98,38
953,159,33
954,128,8
955,102,3
956,118,57
957,127,18
958,171,15
961,73,5
962,194,51
964,185,43
965,191,21
966,102,31
967,117,22
968,122,15
969,205,40
970,128,14
971,100,16
972,100,32
973,87,20
974,869,127
975,98,47
976,621,60
977,121,34
978,80,27
979,179,81
980,45,8
981,115,47
982,116,35
983,203,102
984,76,2
985,148,21
986,82,6
987,171,65
989,118,15
990,518,2
991,150,8
992,342,123
993,173,9
994,92,22
995,172,45
996,90,30
997,87,20
999,142,48
1000,177,5
1001,169,49
1002,88,28
1003,127,16
1004,115,4
1005,123,44
1006,270,63
1007,102,17
1009,160,35
1010,130,32
1011,138,23
1012,234,26
1013,124,46
1014,118,35
1015,153,48
1016,319,40
1017,558,114
1018,105,36
1019,202,61
1020,143,22
1021,83,27
1023,88,30
1024,103,28
1025,221,51
1026,114,42
1027,95,20
1028,95,13
1029,214,48
1030,107,37
1031,159,49
1032,100,71
1033,116,12
1034,108,76
1036,90,26
1038,142,72
1039,139,38
1040,260,50
1042,143,39
1044,376,27
1045,166,41
1047,493,193
1048,123,33
1049,153,46
1050,76,4
1051,179,44
1052,91,7
1053,149,35
1054,459,99
1055,248,52
1056,86,13
1057,140,2
1058,144,5
1059,127,40
1060,112,5
1061,105,21
1062,170,21
1063,113,61
1064,116,30
1065,72,6
1066,101,34
1068,201,25
1069,119,24
1070,261,61
1071,86,25
1072,78,22
1073,76,33
1074,192,16
1075,94,23
1076,123,38
1077,91,9
1078,123,22
1079,133,41
1080,126,44
1082,258,30
1083,216,32
