UserID,CheckIn,LocationFrequency,ActivityTime,Cluster
175,91,22,11,1
176,167,33,0,0
177,80,11,1,0
178,768,155,14,1
179,166,54,1,0
180,204,31,13,1
181,383,13,5,0
182,231,57,16,1
183,77,10,16,1
184,323,115,6,0
185,1530,290,0,0
186,166,43,15,1
187,498,54,13,1
188,275,84,13,1
189,148,31,19,1
190,85,16,10,1
191,162,25,23,1
192,61,17,16,1
193,268,16,0,0
194,109,44,14,1
195,119,55,2,0
196,104,27,5,0
198,76,10,16,1
199,222,34,14,1
200,76,9,18,1
201,98,15,19,1
202,228,95,3,0
203,98,27,0,0
204,100,37,18,1
206,171,44,14,1
207,297,43,0,0
208,267,64,0,0
210,140,59,2,0
211,137,15,20,1
212,167,52,14,1
213,93,10,13,1
214,131,52,19,1
215,201,51,16,1
216,124,42,22,1
217,233,63,14,1
218,141,67,23,1
219,91,14,10,1
220,102,23,14,1
221,132,21,16,1
222,123,22,19,1
225,158,69,14,1
226,88,21,17,1
227,84,20,12,1
228,87,36,16,1
229,105,9,15,1
230,118,36,4,0
231,119,39,0,0
233,103,26,2,0
234,90,4,11,1
235,182,50,13,1
237,67,2,0,0
238,212,61,0,0
240,97,27,13,1
241,87,16,15,1
242,145,28,16,1
243,173,26,21,1
244,170,37,13,1
245,88,31,15,1
246,386,95,16,1
247,99,26,23,1
248,87,32,0,0
250,145,32,1,0
251,86,20,23,1
252,77,12,0,0
253,110,21,14,1
254,244,17,18,1
255,141,30,0,0
256,119,46,14,1
257,77,19,15,1
258,101,20,19,1
259,158,23,13,1
260,126,24,13,1
261,168,14,1,0
264,107,27,23,1
265,76,17,1,0
266,99,28,19,1
267,500,87,1,0
269,101,14,11,1
270,155,44,7,0
271,164,73,14,1
272,150,68,20,1
273,111,53,13,1
274,92,22,18,1
275,151,31,0,0
276,174,72,13,1
277,148,28,11,1
278,262,9,16,1
279,95,33,2,0
280,533,158,2,0
281,318,150,13,1
282,121,11,12,1
283,136,36,14,1
284,87,14,3,0
285,76,21,5,0
286,80,12,21,1
287,161,21,10,1
288,220,25,11,1
289,211,32,0,0
290,98,20,1,0
291,180,44,0,0
292,98,27,16,1
293,1769,171,17,1
294,104,16,0,0
295,251,38,0,0
296,195,46,16,1
297,87,19,11,1
298,99,25,14,1
299,114,13,13,1
300,177,47,22,1
301,115,46,15,1
302,170,25,15,1
303,100,49,16,1
304,141,37,11,1
305,89,10,15,1
306,259,37,15,1
307,99,34,13,1
308,90,13,14,1
309,104,16,12,1
310,157,34,16,1
311,191,27,19,1
312,147,39,17,1
313,161,52,23,1
314,164,44,17,1
315,1144,232,23,1
316,112,30,6,0
317,130,43,5,0
318,124,62,21,1
319,470,48,21,1
320,88,32,23,1
321,102,38,12,1
322,112,21,2,0
323,131,34,22,1
324,89,35,23,1
325,92,11,2,0
326,68,14,19,1
327,110,25,15,1
328,104,21,1,0
329,73,28,3,0
330,155,57,0,0
331,224,21,11,1
332,103,40,11,1
333,108,6,8,0
334,139,26,1,0
335,424,108,1,0
337,160,41,13,1
338,98,21,14,1
339,82,25,23,1
340,161,32,14,1
342,168,39,16,1
343,150,20,1,0
344,346,66,16,1
345,65,26,4,0
346,104,26,14,1
347,256,75,13,1
348,131,32,13,1
349,778,178,0,0
350,77,7,12,1
351,190,12,23,1
352,58,22,0,0
353,130,18,14,1
354,1843,198,12,1
355,332,57,0,0
356,92,25,11,1
357,101,19,13,1
358,84,27,2,0
359,389,52,13,1
360,153,61,0,0
361,109,16,1,0
362,158,58,13,1
363,117,47,5,0
364,213,46,21,1
365,299,90,14,1
366,106,12,3,0
367,107,34,23,1
368,90,39,1,0
370,110,20,17,1
371,702,127,4,0
372,453,88,16,1
373,152,72,21,1
374,128,25,2,0
375,122,18,16,1
376,108,17,15,1
377,142,56,13,1
378,87,30,15,1
379,116,10,11,1
380,204,70,13,1
381,101,77,19,1
382,98,4,12,1
383,136,51,12,1
384,965,205,5,0
385,98,39,11,1
386,253,63,12,1
387,102,19,0,0
388,90,9,16,1
389,102,54,0,0
390,291,71,16,1
391,139,27,10,1
392,82,11,0,0
393,8,4,18,1
394,74,8,1,0
395,75,8,23,1
396,308,109,13,1
397,143,37,2,0
398,219,57,12,1
399,53,15,0,0
400,85,24,12,1
401,108,29,1,0
402,155,8,14,1
403,82,6,21,1
404,222,24,13,1
405,106,28,12,1
406,124,42,7,0
407,103,17,22,1
408,135,9,13,1
409,113,28,10,1
410,62,17,1,0
412,213,52,14,1
413,147,61,7,0
414,97,37,3,0
415,124,36,19,1
416,81,19,2,0
417,179,58,0,0
418,80,22,0,0
419,134,28,2,0
420,70,21,1,0
421,74,39,16,1
422,219,7,14,1
423,122,45,0,0
424,140,72,16,1
425,340,117,15,1
427,120,35,22,1
428,163,36,22,1
429,126,11,5,0
430,129,8,18,1
431,148,43,15,1
432,257,131,18,1
433,94,15,18,1
434,116,15,13,1
435,137,8,1,0
436,92,41,11,1
438,272,33,12,1
439,607,108,15,1
440,633,62,12,1
441,170,19,1,0
442,118,18,12,1
443,709,112,9,1
444,309,164,19,1
445,932,183,13,1
446,117,16,13,1
447,111,9,11,1
448,609,74,14,1
449,80,43,2,0
450,126,20,2,0
452,109,20,23,1
453,93,21,20,1
454,92,13,23,1
455,84,19,12,1
456,178,31,15,1
457,95,24,2,0
458,880,210,16,1
459,151,12,14,1
460,101,2,1,0
461,266,56,15,1
462,111,24,22,1
463,107,36,17,1
464,159,53,15,1
465,168,24,13,1
466,72,12,22,1
467,114,37,16,1
468,225,79,0,0
469,84,12,13,1
470,196,141,18,1
471,252,46,1,0
472,311,26,10,1
473,108,41,12,1
474,327,43,0,0
475,246,59,13,1
478,172,93,14,1
480,234,53,3,0
481,217,22,12,1
482,227,92,15,1
483,143,11,1,0
484,719,40,2,0
485,113,4,0,0
487,129,4,15,1
489,117,33,21,1
490,29,1,10,1
491,93,34,22,1
492,283,30,19,1
493,205,30,5,0
494,92,25,14,1
495,352,127,19,1
496,109,28,21,1
497,75,19,21,1
498,160,26,23,1
499,88,20,13,1
500,131,17,13,1
501,109,19,21,1
503,224,93,14,1
504,173,53,0,0
505,156,20,1,0
506,176,41,19,1
507,207,60,15,1
508,86,12,0,0
509,194,34,22,1
510,181,55,21,1
511,131,17,16,1
512,229,31,9,1
513,125,33,14,1
514,137,45,13,1
515,225,91,0,0
516,124,52,14,1
518,284,48,16,1
519,392,74,1,0
520,81,13,12,1
521,584,57,17,1
524,111,43,23,1
525,182,56,18,1
526,194,74,14,1
527,802,146,0,0
528,228,136,14,1
529,472,126,14,1
530,83,29,13,1
531,316,62,3,0
532,93,7,13,1
533,257,55,16,1
534,91,36,3,0
535,86,32,12,1
536,126,20,13,1
537,133,35,1,0
539,241,50,16,1
540,232,32,13,1
541,120,42,15,1
543,110,23,11,1
544,89,15,16,1
548,96,21,17,1
549,171,36,12,1
550,85,14,0,0
553,258,59,22,1
554,112,12,22,1
556,59,6,20,1
557,138,10,16,1
558,127,9,5,0
559,163,71,15,1
560,208,40,12,1
561,98,15,11,1
562,129,36,13,1
563,70,1,21,1
564,88,13,12,1
565,159,74,16,1
566,173,47,14,1
567,138,32,20,1
568,177,27,17,1
569,102,20,23,1
570,106,21,16,1
571,224,53,11,1
572,215,59,21,1
573,188,31,18,1
574,110,41,0,0
575,134,37,2,0
576,61,6,13,1
577,213,17,16,1
578,121,45,22,1
579,152,41,16,1
581,199,56,14,1
582,449,76,0,0
584,170,12,3,0
585,276,9,10,1
586,118,24,21,1
588,104,31,19,1
590,98,3,21,1
591,157,37,14,1
592,153,55,15,1
593,494,67,13,1
594,92,21,20,1
596,201,10,13,1
597,93,18,14,1
598,122,42,2,0
599,135,33,13,1
601,85,38,23,1
603,84,20,21,1
604,97,46,7,0
606,89,10,14,1
607,96,13,12,1
608,113,10,16,1
609,141,34,6,0
610,81,25,19,1
611,108,15,2,0
612,204,62,13,1
613,102,21,18,1
614,101,23,0,0
615,151,119,19,1
616,248,24,14,1
618,14,3,17,1
619,191,39,2,0
620,159,39,16,1
621,463,163,16,1
622,102,11,17,1
623,216,129,13,1
624,148,25,15,1
625,80,12,16,1
626,197,8,13,1
627,111,36,20,1
628,255,80,0,0
629,118,33,2,0
630,125,35,0,0
631,124,29,16,1
632,127,33,3,0
633,192,69,2,0
635,350,57,21,1
636,91,13,0,0
637,119,39,3,0
638,369,38,3,0
639,146,36,20,1
642,233,71,12,1
643,281,64,15,1
644,78,22,3,0
645,297,87,13,1
646,352,99,3,0
647,295,53,12,1
648,91,20,15,1
649,209,103,14,1
650,80,24,23,1
651,118,18,0,0
652,368,95,16,1
653,80,27,14,1
654,189,51,2,0
656,125,41,17,1
657,205,32,13,1
658,131,23,11,1
659,160,62,13,1
660,339,88,14,1
661,142,17,19,1
662,206,75,20,1
663,119,6,15,1
664,383,12,21,1
665,264,134,10,1
666,73,14,16,1
667,208,48,20,1
668,71,11,16,1
669,118,65,14,1
672,115,21,1,0
673,331,50,13,1
674,94,25,16,1
677,153,29,21,1
678,95,14,22,1
679,80,19,3,0
680,84,16,22,1
681,84,21,23,1
682,174,68,21,1
683,94,32,14,1
684,120,30,11,1
685,82,12,18,1
686,104,40,21,1
688,251,29,11,1
689,586,90,13,1
690,127,29,16,1
691,197,107,15,1
692,134,41,1,0
693,121,33,14,1
694,87,16,10,1
695,84,25,22,1
696,122,10,14,1
697,144,29,13,1
698,100,44,15,1
699,255,37,12,1
701,100,24,3,0
702,432,60,19,1
703,127,41,22,1
704,169,45,4,0
705,187,34,11,1
706,772,358,4,0
707,101,27,11,1
708,229,74,19,1
710,146,35,16,1
712,185,41,22,1
713,140,109,17,1
714,133,34,13,1
715,117,53,12,1
716,121,25,2,0
717,66,2,16,1
718,258,34,11,1
719,106,5,1,0
720,111,27,12,1
721,126,60,14,1
722,409,36,13,1
723,230,81,20,1
724,125,19,14,1
725,130,24,0,0
726,421,227,1,0
727,171,36,12,1
728,144,34,1,0
730,484,60,17,1
731,148,46,15,1
733,171,58,13,1
734,560,61,13,1
735,200,33,12,1
736,160,34,2,0
737,146,28,20,1
738,77,18,0,0
739,160,33,12,1
741,93,32,17,1
742,629,172,16,1
744,297,32,17,1
745,372,160,2,0
746,175,47,0,0
748,120,23,15,1
749,138,77,15,1
750,348,48,1,0
751,132,37,21,1
752,230,105,14,1
754,281,2,11,1
755,194,68,2,0
756,76,14,22,1
757,219,53,0,0
758,148,67,15,1
759,84,21,22,1
760,88,24,23,1
762,147,60,3,0
763,311,18,10,1
766,337,51,12,1
767,236,55,21,1
768,1029,282,15,1
769,119,10,11,1
770,152,34,17,1
772,106,39,0,0
773,349,76,10,1
774,102,29,23,1
776,140,35,1,0
777,79,26,17,1
778,151,44,14,1
779,118,20,10,1
780,154,13,18,1
781,233,49,17,1
782,172,26,16,1
783,143,38,12,1
784,262,77,17,1
785,112,33,20,1
786,124,26,2,0
787,183,38,21,1
788,94,18,15,1
789,56,3,23,1
790,82,14,0,0
791,128,72,14,1
792,144,33,3,0
793,171,79,2,0
795,123,7,7,0
796,70,8,2,0
797,147,59,16,1
798,223,95,2,0
799,77,18,16,1
800,153,38,21,1
801,47,10,6,0
802,118,61,0,0
803,163,62,11,1
804,106,28,4,0
805,122,32,2,0
806,290,64,19,1
807,136,9,20,1
809,102,21,23,1
811,84,6,23,1
812,104,24,4,0
813,157,19,20,1
814,194,50,1,0
815,184,23,12,1
816,344,102,14,1
817,143,35,14,1
818,78,24,15,1
819,558,70,5,0
820,411,146,12,1
822,92,29,17,1
823,127,37,1,0
824,139,21,0,0
825,90,2,10,1
826,181,30,16,1
827,470,133,1,0
828,42,11,19,1
829,112,73,13,1
830,186,78,19,1
831,87,14,13,1
832,75,9,15,1
833,139,47,13,1
834,269,129,15,1
836,152,57,14,1
837,146,40,3,0
838,158,18,19,1
839,121,30,15,1
840,125,34,17,1
841,112,2,13,1
842,272,25,13,1
843,119,2,21,1
844,143,22,1,0
845,195,18,9,1
846,136,56,14,1
847,76,9,12,1
848,88,19,23,1
851,163,37,14,1
852,100,25,20,1
853,189,38,14,1
854,144,30,15,1
855,110,49,8,0
856,131,22,14,1
857,228,25,18,1
858,61,15,13,1
859,118,7,9,1
861,168,41,0,0
863,99,20,12,1
864,165,96,14,1
865,161,36,16,1
868,220,72,13,1
869,79,20,15,1
870,134,49,12,1
871,110,23,13,1
872,425,38,4,0
873,98,29,0,0
874,138,51,14,1
877,162,37,22,1
878,121,29,12,1
879,181,82,11,1
880,431,253,20,1
881,343,58,2,0
882,225,123,12,1
883,89,34,21,1
884,72,29,9,1
885,481,34,11,1
887,108,26,0,0
888,179,35,0,0
889,435,168,13,1
890,112,21,13,1
891,327,57,10,1
892,112,39,4,0
893,90,14,4,0
894,166,48,13,1
895,380,121,2,0
897,85,24,2,0
900,237,28,15,1
901,293,33,19,1
902,214,15,15,1
903,84,5,15,1
904,183,54,12,1
905,150,35,1,0
906,121,48,17,1
907,109,41,10,1
908,167,23,13,1
909,157,33,0,0
910,114,37,9,1
912,200,49,22,1
913,227,53,3,0
915,233,7,10,1
916,342,116,0,0
917,98,14,14,1
918,124,37,0,0
920,216,5,12,1
921,126,5,10,1
922,292,71,2,0
923,107,7,14,1
924,121,11,13,1
925,105,13,21,1
926,86,10,22,1
927,113,24,20,1
928,295,33,11,1
929,127,17,17,1
931,114,35,12,1
932,114,9,18,1
933,86,23,21,1
934,283,4,2,0
936,291,51,20,1
937,107,42,16,1
938,114,22,0,0
939,133,21,19,1
940,119,22,2,0
941,156,26,16,1
942,78,18,21,1
943,624,58,11,1
944,105,16,14,1
945,59,16,20,1
946,170,24,1,0
947,109,36,2,0
948,117,29,5,0
949,83,21,19,1
950,119,54,15,1
951,630,61,1,0
952,98,38,19,1
953,159,33,11,1
954,128,8,16,1
955,102,3,20,1
956,118,57,3,0
957,127,18,13,1
958,171,15,12,1
961,73,5,18,1
962,194,51,14,1
964,185,43,11,1
965,191,21,9,1
966,102,31,12,1
967,117,22,17,1
968,122,15,11,1
969,205,40,20,1
970,128,14,4,0
971,100,16,21,1
972,100,32,21,1
973,87,20,16,1
974,869,127,17,1
975,98,47,21,1
976,621,60,16,1
977,121,34,16,1
978,80,27,1,0
979,179,81,16,1
980,45,8,16,1
981,115,47,0,0
982,116,35,15,1
983,203,102,15,1
984,76,2,10,1
985,148,21,17,1
986,82,6,20,1
987,171,65,20,1
989,118,15,13,1
990,518,2,14,1
991,150,8,3,0
992,342,123,17,1
993,173,9,0,0
994,92,22,13,1
995,172,45,13,1
996,90,30,13,1
997,87,20,18,1
999,142,48,18,1
1000,177,5,12,1
1001,169,49,10,1
1002,88,28,0,0
1003,127,16,12,1
1004,115,4,12,1
1005,123,44,19,1
1006,270,63,1,0
1007,102,17,20,1
1009,160,35,21,1
1010,130,32,14,1
1011,138,23,10,1
1012,234,26,16,1
1013,124,46,13,1
1014,118,35,16,1
1015,153,48,22,1
1016,319,40,11,1
1017,558,114,18,1
1018,105,36,19,1
1019,202,61,21,1
1020,143,22,22,1
1021,83,27,15,1
1023,88,30,19,1
1024,103,28,1,0
1025,221,51,20,1
1026,114,42,2,0
1027,95,20,21,1
1028,95,13,23,1
1029,214,48,1,0
1030,107,37,22,1
1031,159,49,2,0
1032,100,71,22,1
1033,116,12,1,0
1034,108,76,0,0
1036,90,26,0,0
1038,142,72,18,1
1039,139,38,1,0
1040,260,50,6,0
1042,143,39,14,1
1044,376,27,13,1
1045,166,41,0,0
1047,493,193,17,1
1048,123,33,17,1
1049,153,46,14,1
1050,76,4,19,1
1051,179,44,13,1
1052,91,7,0,0
1053,149,35,21,1
1054,459,99,0,0
1055,248,52,14,1
1056,86,13,22,1
1057,140,2,11,1
1058,144,5,21,1
1059,127,40,1,0
1060,112,5,13,1
1061,105,21,15,1
1062,170,21,12,1
1063,113,61,13,1
1064,116,30,0,0
1065,72,6,9,1
1066,101,34,11,1
1068,201,25,0,0
1069,119,24,20,1
1070,261,61,14,1
1071,86,25,0,0
1072,78,22,22,1
1073,76,33,16,1
1074,192,16,9,1
1075,94,23,13,1
1076,123,38,23,1
1077,91,9,1,0
1078,123,22,19,1
1079,133,41,14,1
1080,126,44,14,1
1082,258,30,16,1
1083,216,32,13,1
