UserID,CheckIn,LocationFrequency,ActivityTime
375,122,18,16
376,108,17,15
377,142,56,13
378,87,30,15
379,116,10,11
380,204,70,13
381,101,77,19
382,98,4,12
383,136,51,12
384,965,205,5
385,98,39,11
386,253,63,12
387,102,19,0
388,90,9,16
389,102,54,0
390,291,71,16
391,139,27,10
392,82,11,0
393,8,4,18
394,74,8,1
395,75,8,23
396,308,109,13
397,143,37,2
398,219,57,12
399,53,15,0
400,85,24,12
401,108,29,1
402,155,8,14
403,82,6,21
404,222,24,13
405,106,28,12
406,124,42,7
407,103,17,22
408,135,9,13
409,113,28,10
410,62,17,1
412,213,52,14
413,147,61,7
414,97,37,3
415,124,36,19
416,81,19,2
417,179,58,0
418,80,22,0
419,134,28,2
420,70,21,1
421,74,39,16
422,219,7,14
423,122,45,0
424,140,72,16
425,340,117,15
427,120,35,22
428,163,36,22
429,126,11,5
430,129,8,18
431,148,43,15
432,257,131,18
433,94,15,18
434,116,15,13
435,137,8,1
436,92,41,11
438,272,33,12
439,607,108,15
440,633,62,12
441,170,19,1
442,118,18,12
443,709,112,9
444,309,164,19
445,932,183,13
446,117,16,13
447,111,9,11
448,609,74,14
449,80,43,2
450,126,20,2
452,109,20,23
453,93,21,20
454,92,13,23
455,84,19,12
456,178,31,15
457,95,24,2
458,880,210,16
459,151,12,14
460,101,2,1
461,266,56,15
462,111,24,22
463,107,36,17
464,159,53,15
465,168,24,13
466,72,12,22
467,114,37,16
468,225,79,0
469,84,12,13
470,196,141,18
471,252,46,1
472,311,26,10
473,108,41,12
474,327,43,0
475,246,59,13
478,172,93,14
480,234,53,3
481,217,22,12
482,227,92,15
483,143,11,1
484,719,40,2
485,113,4,0
487,129,4,15
489,117,33,21
490,29,1,10
491,93,34,22
492,283,30,19
493,205,30,5
494,92,25,14
495,352,127,19
496,109,28,21
497,75,19,21
498,160,26,23
499,88,20,13
500,131,17,13
501,109,19,21
503,224,93,14
504,173,53,0
505,156,20,1
506,176,41,19
507,207,60,15
508,86,12,0
509,194,34,22
510,181,55,21
511,131,17,16
512,229,31,9
513,125,33,14
514,137,45,13
515,225,91,0
516,124,52,14
518,284,48,16
519,392,74,1
520,81,13,12
521,584,57,17
524,111,43,23
525,182,56,18
526,194,74,14
527,802,146,0
528,228,136,14
529,472,126,14
530,83,29,13
531,316,62,3
532,93,7,13
533,257,55,16
534,91,36,3
535,86,32,12
536,126,20,13
537,133,35,1
539,241,50,16
540,232,32,13
541,120,42,15
543,110,23,11
544,89,15,16
548,96,21,17
549,171,36,12
550,85,14,0
553,258,59,22
554,112,12,22
556,59,6,20
557,138,10,16
558,127,9,5
559,163,71,15
560,208,40,12
561,98,15,11
562,129,36,13
563,70,1,21
564,88,13,12
565,159,74,16
566,173,47,14
567,138,32,20
568,177,27,17
569,102,20,23
570,106,21,16
571,224,53,11
572,215,59,21
573,188,31,18
574,110,41,0
575,134,37,2
576,61,6,13
577,213,17,16
578,121,45,22
579,152,41,16
581,199,56,14
582,449,76,0
584,170,12,3
585,276,9,10
586,118,24,21
588,104,31,19
590,98,3,21
591,157,37,14
592,153,55,15
593,494,67,13
594,92,21,20
596,201,10,13
597,93,18,14
598,122,42,2
599,135,33,13
601,85,38,23
603,84,20,21
604,97,46,7
606,89,10,14
607,96,13,12
608,113,10,16
609,141,34,6
610,81,25,19
611,108,15,2
612,204,62,13
613,102,21,18
614,101,23,0
615,151,119,19
616,248,24,14
618,14,3,17
619,191,39,2
620,159,39,16
621,463,163,16
622,102,11,17
623,216,129,13
624,148,25,15
625,80,12,16
626,197,8,13
627,111,36,20
628,255,80,0
629,118,33,2
630,125,35,0
631,124,29,16
632,127,33,3
633,192,69,2
635,350,57,21
636,91,13,0
637,119,39,3
638,369,38,3
639,146,36,20
642,233,71,12
643,281,64,15
644,78,22,3
645,297,87,13
646,352,99,3
647,295,53,12
648,91,20,15
649,209,103,14
650,80,24,23
651,118,18,0
652,368,95,16
653,80,27,14
654,189,51,2
656,125,41,17
657,205,32,13
658,131,23,11
659,160,62,13
660,339,88,14
661,142,17,19
662,206,75,20
663,119,6,15
664,383,12,21
665,264,134,10
666,73,14,16
667,208,48,20
668,71,11,16
669,118,65,14
672,115,21,1
673,331,50,13
674,94,25,16
677,153,29,21
678,95,14,22
679,80,19,3
680,84,16,22
681,84,21,23
682,174,68,21
683,94,32,14
684,120,30,11
685,82,12,18
686,104,40,21
688,251,29,11
689,586,90,13
690,127,29,16
691,197,107,15
692,134,41,1
693,121,33,14
694,87,16,10
695,84,25,22
696,122,10,14
697,144,29,13
698,100,44,15
699,255,37,12
701,100,24,3
702,432,60,19
703,127,41,22
704,169,45,4
705,187,34,11
706,772,358,4
707,101,27,11
708,229,74,19
710,146,35,16
712,185,41,22
713,140,109,17
714,133,34,13
715,117,53,12
716,121,25,2
717,66,2,16
718,258,34,11
719,106,5,1
720,111,27,12
721,126,60,14
722,409,36,13
723,230,81,20
724,125,19,14
725,130,24,0
726,421,227,1
727,171,36,12
728,144,34,1
730,484,60,17
731,148,46,15
733,171,58,13
734,560,61,13
735,200,33,12
736,160,34,2
737,146,28,20
738,77,18,0
739,160,33,12
741,93,32,17
742,629,172,16
744,297,32,17
745,372,160,2
746,175,47,0
748,120,23,15
749,138,77,15
750,348,48,1
751,132,37,21
752,230,105,14
754,281,2,11
755,194,68,2
756,76,14,22
757,219,53,0
758,148,67,15
759,84,21,22
760,88,24,23
762,147,60,3
763,311,18,10
766,337,51,12
767,236,55,21
768,1029,282,15
769,119,10,11
770,152,34,17
772,106,39,0
773,349,76,10
774,102,29,23
776,140,35,1
777,79,26,17
778,151,44,14
779,118,20,10
780,154,13,18
781,233,49,17
782,172,26,16
783,143,38,12
784,262,77,17
785,112,33,20
786,124,26,2
787,183,38,21
788,94,18,15
789,56,3,23
790,82,14,0
791,128,72,14
792,144,33,3
793,171,79,2
795,123,7,7
796,70,8,2
797,147,59,16
798,223,95,2
799,77,18,16
800,153,38,21
801,47,10,6
802,118,61,0
803,163,62,11
804,106,28,4
805,122,32,2
806,290,64,19
807,136,9,20
809,102,21,23
811,84,6,23
812,104,24,4
813,157,19,20
814,194,50,1
815,184,23,12
816,344,102,14
817,143,35,14
818,78,24,15
819,558,70,5
820,411,146,12
822,92,29,17
823,127,37,1
824,139,21,0
825,90,2,10
826,181,30,16
827,470,133,1
828,42,11,19
829,112,73,13
830,186,78,19
831,87,14,13
832,75,9,15
833,139,47,13
834,269,129,15
836,152,57,14
837,146,40,3
838,158,18,19
839,121,30,15
840,125,34,17
841,112,2,13
842,272,25,13
843,119,2,21
844,143,22,1
845,195,18,9
846,136,56,14
847,76,9,12
848,88,19,23
851,163,37,14
852,100,25,20
853,189,38,14
854,144,30,15
855,110,49,8
856,131,22,14
857,228,25,18
858,61,15,13
859,118,7,9
861,168,41,0
863,99,20,12
864,165,96,14
865,161,36,16
868,220,72,13
869,79,20,15
870,134,49,12
871,110,23,13
872,425,38,4
873,98,29,0
874,138,51,14
877,162,37,22
878,121,29,12
879,181,82,11
880,431,253,20
881,343,58,2
882,225,123,12
883,89,34,21
884,72,29,9
885,481,34,11
887,108,26,0
888,179,35,0
889,435,168,13
890,112,21,13
891,327,57,10
892,112,39,4
893,90,14,4
894,166,48,13
895,380,121,2
897,85,24,2
900,237,28,15
901,293,33,19
902,214,15,15
903,84,5,15
904,183,54,12
905,150,35,1
906,121,48,17
907,109,41,10
908,167,23,13
909,157,33,0
910,114,37,9
912,200,49,22
913,227,53,3
915,233,7,10
916,342,116,0
917,98,14,14
918,124,37,0
920,216,5,12
921,126,5,10
922,292,71,2
923,107,7,14
924,121,11,13
925,105,13,21
926,86,10,22
927,113,24,20
928,295,33,11
929,127,17,17
931,114,35,12
932,114,9,18
933,86,23,21
934,283,4,2
936,291,51,20
937,107,42,16
938,114,22,0
939,133,21,19
940,119,22,2
941,156,26,16
942,78,18,21
943,624,58,11
944,105,16,14
945,59,16,20
946,170,24,1
947,109,36,2
948,117,29,5
949,83,21,19
950,119,54,15
951,630,61,1
952,98,38,19
953,159,33,11
954,128,8,16
955,102,3,20
956,118,57,3
957,127,18,13
958,171,15,12
961,73,5,18
962,194,51,14
964,185,43,11
965,191,21,9
966,102,31,12
967,117,22,17
968,122,15,11
969,205,40,20
970,128,14,4
971,100,16,21
972,100,32,21
973,87,20,16
974,869,127,17
975,98,47,21
976,621,60,16
977,121,34,16
978,80,27,1
979,179,81,16
980,45,8,16
981,115,47,0
982,116,35,15
983,203,102,15
984,76,2,10
985,148,21,17
986,82,6,20
987,171,65,20
989,118,15,13
990,518,2,14
991,150,8,3
992,342,123,17
993,173,9,0
994,92,22,13
995,172,45,13
996,90,30,13
997,87,20,18
999,142,48,18
1000,177,5,12
1001,169,49,10
1002,88,28,0
1003,127,16,12
1004,115,4,12
1005,123,44,19
1006,270,63,1
1007,102,17,20
1009,160,35,21
1010,130,32,14
1011,138,23,10
1012,234,26,16
1013,124,46,13
1014,118,35,16
1015,153,48,22
1016,319,40,11
1017,558,114,18
1018,105,36,19
1019,202,61,21
1020,143,22,22
1021,83,27,15
1023,88,30,19
1024,103,28,1
1025,221,51,20
1026,114,42,2
1027,95,20,21
1028,95,13,23
1029,214,48,1
1030,107,37,22
1031,159,49,2
1032,100,71,22
1033,116,12,1
1034,108,76,0
1036,90,26,0
1038,142,72,18
1039,139,38,1
1040,260,50,6
1042,143,39,14
1044,376,27,13
1045,166,41,0
1047,493,193,17
1048,123,33,17
1049,153,46,14
1050,76,4,19
1051,179,44,13
1052,91,7,0
1053,149,35,21
1054,459,99,0
1055,248,52,14
1056,86,13,22
1057,140,2,11
1058,144,5,21
1059,127,40,1
1060,112,5,13
1061,105,21,15
1062,170,21,12
1063,113,61,13
1064,116,30,0
1065,72,6,9
1066,101,34,11
1068,201,25,0
1069,119,24,20
1070,261,61,14
1071,86,25,0
1072,78,22,22
1073,76,33,16
1074,192,16,9
1075,94,23,13
1076,123,38,23
1077,91,9,1
1078,123,22,19
1079,133,41,14
1080,126,44,14
1082,258,30,16
1083,216,32,13
